=======================================================;;;;;;;;;;;;;;;;;;;;
Image Data:;../shared/images/nature_tiny_ver_1.png;PNG;400x600;400x600+0+0;8-bit;sRGB;428379B;0.000u;0:00.004;;;;;;;;;;;
-------------------------------------------------------;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Format;SRC_PATH;DEST_SIZE;RES_SIZE;ENC_TIME;DEC_TIME;DIFF_SIZE(%);QUALITY_PRESET;SSIM;PSNR;MSE;RMSE;UQI;ERGAS;SCC;RASE;SAM;VIFP;PSNRB;FSIM;SRE
AVIF;./result/res_avif_1.avif;428379;6907;1067;151;98;50;0.7842971567982527;25.204227066781964;196.18132083333333;14.006474247052088;0.9279310504187986;2.611575250035554;0.23496299209445823;1291.1462842847732;0.08564044612096716;0.2576930857745821;26.10042482430004;0.6264799802899015;58.03895398177713
JPEG XL;./result/res_jxl_1.jxl;428379;43440;342;254;90;80;0.9044491890814667;30.067657274644365;64.01984722222223;8.00124035523382;0.9489965151490732;1.5608132269030943;0.5139937254147003;724.5707290312314;0.048358710181058945;0.4713898773170249;28.530843376012047;0.7682155739438111;61.086440624014685
libjpeg Image Magick;./result/res_jpeg_1.jpg;428379;60837;255;124;86;80;0.9145527584467956;30.2621335316142;61.21629027777778;7.8240839896934755;0.9520432002545339;1.502492494124788;0.5458089980702111;735.7457042627913;0.04743084603180714;0.4913901430757767;28.57678935128037;0.7824236692341744;60.84919479523372
WebP;./result/res_webp_1.webp;428379;53136;273;162;88;80;0.9270256682172632;31.434643536147284;46.73217638888889;6.8360936498038765;0.9582578234013314;1.3179313769755574;0.5607930736180354;648.0445131514107;0.041265365545720085;0.5196903528005872;29.600210322680248;0.7906074935831047;61.51641449705658
FLIF;./result/res_flif_1.flif;428379;160435;1421;225;63;80;0.9875191117916678;40.98447483303773;5.1836166666666665;2.276755732762447;0.9924357045483854;0.4374772245625838;0.7453749758448148;229.60320101306172;0.013931152914749292;0.7810955368130852;40.45225361160312;0.8787053417511572;66.13408394808802
BPG;./result/res_bpg_1.bpg;428379;119319;616;147;72;7;0.9743410124319639;37.9773219192303;10.35972361111111;3.2186524526750495;0.9894182699212152;0.6095477740326066;0.5771298344663683;309.071748547999;0.01977609273118392;0.6682697779634245;37.968934673678014;0.8485386775113254;64.46735856685623
JPEG jpeglib-turbo;./result/res_jpeg_1.jpg;428379;60837;106;77;86;80;0.9148002538564005;30.270186861943284;61.10287916666667;7.816833065037699;0.9520459341722184;1.5010898841027056;0.5454009194970614;735.2071794180008;0.04738705765953497;0.49230444547578567;28.579414775573962;0.7823104319265445;60.85323791586354
