sep=,



=======================================================
Image Data:,../shared/images/nature_tiny_ver_1.png,PNG,400x600,400x600+0+0,8-bit,sRGB,428379B,0.016u,0:00.000,
-------------------------------------------------------

Format,SRC_PATH,SRC_SIZE,RES_SIZE,ENC_TIME,DEC_TIME,DIFF_SIZE(%),QUALITY,SSIM,PSNR,MSE,RMSE,UQI,ERGAS,SCC,RASE,SAM,VIFP,PSNRB,FSIM,SRE
guetzli,./result/res_jpegGUETZLI_2.jpg,1617721,469803,82532,285,71,96,0.9566436111651324,34.61358922128298,22.476125,4.7408991763166615,0.9692775730935376,0.920400980715181,0.6380766915100985,464.6910686327638,0.027978535540656307,0.6230578674181855,31.985912051571724,0.8290123893029216,66.41897816787522,
mozjpeg,./result/res_jpegMOZ_2.jpg,1617721,458367,347,71,72,91,0.9713018715779168,36.15000167937718,15.779026041666667,3.972282220797846,0.9840040194044885,0.7503852035252135,0.5912452708210769,408.3391049905417,0.024348111013007687,0.6217739482007224,35.727610222925975,0.8523145493245886,66.54120243083244,






=======================================================
Image Data:,../shared/images/travel_small_hor_1.png,PNG,600x400,600x400+0+0,8-bit,sRGB,432856B,0.000u,0:00.000,
-------------------------------------------------------

Format,SRC_PATH,SRC_SIZE,RES_SIZE,ENC_TIME,DEC_TIME,DIFF_SIZE(%),QUALITY,SSIM,PSNR,MSE,RMSE,UQI,ERGAS,SCC,RASE,SAM,VIFP,PSNRB,FSIM,SRE
AVIF,./result/res_avif_3.avif,432856,113640,476,126,74,4,0.9685494015725844,30.531419217385476,57.5358375,7.5852381307378876,0.9529326601433091,1.3793873500020728,0.7342838413381925,354.2917599661183,0.044111217287520155,0.6621814070929676,29.00453656383798,0.8177290228793694,62.1926859600332,
JPEG XL,./result/res_jxl_3.jxl,432856,128594,150,175,70,97,0.9683385142945156,35.156191456736046,19.836325,4.453798940230688,0.9524587923019991,0.8237927103465819,0.7369217681910318,232.12723419849524,0.02547295996159792,0.7534279180496023,33.81044485217193,0.8380711461488369,65.05971432130391,
libjpeg Image Magick,./result/res_jpeg_3.jpg,432856,125593,183,129,71,90,0.9760976338267501,35.55141427333422,18.110854166666666,4.255684923330986,0.9580325313097867,0.7619701953367654,0.6690842934832786,239.2897228074919,0.025725858761697085,0.7035405921236803,34.019354820707775,0.8165970326214591,63.94651316363411,
WebP,./result/res_webp_3.webp,432856,103518,227,120,76,96,0.9640736323654467,30.381949688532135,59.55049722222222,7.716896864816985,0.954183605227458,1.4053919532305936,0.7041640399687543,367.64134939489827,0.04504794934635923,0.6408573047494551,28.89234195054278,0.8061514344519174,62.083043951248776,
FLIF,./result/res_flif_3.flif,432856,121749,1201,190,72,66,0.9824781596280115,38.335693550028346,9.539179166666667,3.0885561621357427,0.9583820397416721,0.5635038285349157,0.7230362344025573,181.18931070898824,0.018795997925879774,0.765158618671386,37.80370963595868,0.8402882955162028,65.36061709134039,
BPG,./result/res_bpg_3.bpg,432856,105118,140,131,76,1,0.9842337688072339,38.572412724468805,9.033147222222222,3.005519459631267,0.9850352760463164,0.5418703895149932,0.6441992142321454,175.04709623872208,0.018515508179713768,0.752529714518367,38.49224680310452,0.8331077075540696,65.306824673058,
JPEG jpeglib-turbo,./result/res_jpeg_turbo_3.jpg,432856,119743,44,44,72,94,0.9609054533908088,30.195943818371084,62.156418055555555,7.883934173720348,0.9525409753095072,1.4344480255157328,0.6783929542653903,382.07857547838427,0.04616676794038684,0.6250216422619906,28.73205011260167,0.7965790483361133,61.91406511622883,
guetzli,./result/res_jpegGUETZLI_3.jpg,432856,152898,24610,126,65,96,0.9783911786703824,33.93776106754712,26.26057638888889,5.1245074289036685,0.9584693587300692,0.8968364803643355,0.6894013865240799,263.6589031498865,0.02977033673879397,0.6942366427464051,31.427918738430037,0.8168632962542608,63.53547553237783,
mozjpeg,./result/res_jpegMOZ_3.jpg,432856,129256,124,47,70,91,0.9813693916755276,35.60370433410334,17.89410277777778,4.230142169924999,0.9625347573892805,0.7613281063926369,0.6589316313762857,230.21071852303584,0.02594196996205808,0.7074945903540423,34.77803189111913,0.831476174950366,63.845125795335356,






=======================================================
Image Data:,../shared/images/text_ver_1.png,PNG,1000x1333,1000x1333+0+0,8-bit,sRGB,2.05855MiB,0.000u,0:00.000,
-------------------------------------------------------

Format,SRC_PATH,SRC_SIZE,RES_SIZE,ENC_TIME,DEC_TIME,DIFF_SIZE(%),QUALITY,SSIM,PSNR,MSE,RMSE,UQI,ERGAS,SCC,RASE,SAM,VIFP,PSNRB,FSIM,SRE
AVIF,./result/res_avif_4.avif,2158545,453851,2302,428,79,4,0.9807152517706167,36.40434152071823,14.88148287071768,3.857652507771751,0.9854167599303306,0.8218275162591311,0.7558282854563334,nan,0.02639647062151235,0.8205005899971612,36.19897882263101,0.8709007648727197,66.52558064349519,
JPEG XL,./result/res_jxl_4.jxl,2158545,506401,469,538,77,97,0.9847593357082989,40.140760868127565,6.295123780945237,2.5090085254827725,0.9880642432426333,0.5620461187162783,0.7486824180149849,nan,0.017418211185328433,0.8367804149708062,37.9795207466958,0.8752912795031986,68.59164542682556,
libjpeg Image Magick,./result/res_jpeg_4.jpg,2158545,492492,115,538,77,90,0.9821259687043936,38.319431094157494,9.57496624156039,3.0943442344962833,0.9858760671137472,0.6813434386872398,0.6734815272038986,nan,0.022077823383135478,0.7664608581738169,37.16861499598132,0.8453607189660675,67.19308200779318,
WebP,./result/res_webp_4.webp,2158545,457104,765,191,79,96,0.9787744260995993,36.13947814781487,15.817307076769191,3.9770978208700365,0.9846439308288376,0.8449870269960978,0.7186186318282555,nan,0.0272193875177457,0.7975875653675965,36.023400012208185,0.8591692760094615,66.36191363393053,
FLIF,./result/res_flif_4.flif,2158545,441613,5681,873,80,66,0.9871968946805175,41.08345167215636,5.066816704176044,2.2509590631941854,0.9879918143986522,0.48799739748654236,0.7184642630383703,nan,0.015877944262118037,0.8197530297393204,40.80254033813258,0.865589979069747,68.55160768146224,
