=======================================================;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
=======================================================;;;;;;;;;;;;;;;;;;;;
Image Data:;../shared/images/travel_small_hor_1.png;PNG;600x400;600x400+0+0;8-bit;sRGB;432856B;0.000u;0:00.000;;;;;;;;;;;
-------------------------------------------------------;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Format;SRC_PATH;SRC_SIZE;RES_SIZE;ENC_TIME;DEC_TIME;DIFF_SIZE(%);QUALITY;SSIM;PSNR;MSE;RMSE;UQI;ERGAS;SCC;RASE;SAM;VIFP;PSNRB;FSIM;SRE
AVIF;./result/res_avif_3.avif;432856;36515;369;112;92;28;0.949352768;29.12107562;79.61094861;8.92249677;0.954983089;1.614081973;0.583750325;454.4125143;0.052670841;0.55665497;27.63298518;0.76386314;61.16976622
JPEG XL;./result/res_jxl_3.jxl;432856;76783;132;163;82;91;0.953292108;31.24538658;48.81369722;6.986679986;0.950288232;1.284465083;0.644764322;360.7210812;0.040601381;0.640868187;29.89195347;0.796142204;62.69008946
libjpeg Image Magick;./result/res_jpeg_3.jpg;432856;73166;71;151;83;85;0.945065557;28.88897366;83.98137778;9.164135408;0.953269805;1.661343769;0.608473307;463.2059937;0.05430146;0.557205271;27.45812741;0.764394289;61.02445272
WebP;./result/res_webp_3.webp;432856;46306;204;118;89;78;0.945664171;29.06569847;80.63257222;8.979564144;0.959905048;1.625661867;0.583279003;459.0150667;0.05323273;0.550654668;27.59866025;0.760680144;61.09413327
FLIF;./result/res_flif_3.flif;432856;53897;985;175;88;3;0.949907212;30.93761092;52.39855;7.238684273;0.95546853;1.327359046;0.568287173;401.2110924;0.044224324;0.565070665;30.6256962;0.764769421;61.67461839
BPG;./result/res_bpg_3.bpg;432856;105118;143;132;76;1;0.984233769;38.57241272;9.033147222;3.00551946;0.985035276;0.54187039;0.644199214;175.0470962;0.018515508;0.752529715;38.4922468;0.833107708;65.30682467
JPEG jpeglib-turbo;./result/res_jpeg_turbo_3.jpg;432856;74769;44;42;83;85;0.945297682;28.89008944;83.95980417;9.162958265;0.953235926;1.660828837;0.608428402;463.2006559;0.05427419;0.557933451;27.45189033;0.764620212;61.02908351
guetzli;./result/res_jpegGUETZLI_3.jpg;432856;73038;15043;100;83;87;0.953298267;29.98327742;65.2758625;8.079347901;0.962101313;1.438513366;0.579318512;419.3529156;0.048200843;0.566742816;28.13315195;0.765377509;61.30837312
mozjpeg;./result/res_jpegMOZ_3.jpg;432856;66946;82;39;85;81;0.952181562;29.10400003;79.92457917;8.940054763;0.955422656;1.620235742;0.555779571;453.0301081;0.054139988;0.558876128;28.04796955;0.767408226;60.79426924
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
=======================================================;;;;;;;;;;;;;;;;;;;;
